name,entity
Nobu Hotel Barcelona,CgsIpJza8JzGzIzpARAB
Gran Hotel La Florida,CgsIzJuU3b-G9Ir_ARAB
Grand Hotel Central,CgoIiuWCj6rOz4x1EAE
Le Méridien Barcelona,CgoIgqL-uZT04_xyEAE
Hotel NH Collection Barcelona Gran Hotel Calderón,CgsI3f6k19eBwPvvARAB
Mandarin Oriental,CgoIgLf_oYzurvJHEAE
InterContinental Barcelona,CgsIvZv1wo2NybDnARAB
El Palace Hotel Barcelona,CgsIpe7Jq6iry6fIARAB
Sonder Paseo de Gracia,CgsI5qnv4bC6iOqtARAB
Sofitel Barcelona Skipper,CgsIzpaa68XvrfC-ARAB
Hotel Casa Fuster,CgoIyczl04eyuaUbEAE
Hotel Alma Barcelona,CgsI84fv6ZPFutuwARAB
Serras Hotel Barcelona,CgoI8eC954OVyb06EAE
El Palauet Barcelona,CgoI5MGIuq-Yp9tHEAE
Ohla Eixample Barcelona,CgsIyfOo3fWuj5XfARAB
Hotel Claris,CgsInLqt4-Hc6vKOARAB
Hotel SOFIA Barcelona - in the Unbound Collection by Hyatt,CgoInvGJ942EqsdSEAE
Hotel Majestic,CgoI2eyVn8e9kqU4EAE
Renaissance Barcelona Hotel,CgsIwYG4vf2WjLGjARAB
Hotel Miramar Barcelona,CgsI8ZSTpbHwie-RARAB
Ohla Barcelona,CgsIt5m9oNLHnpP9ARAB
The Level at Meliá Barcelona Sky,CgsIl9HIsLSV84uLARAB
Sir Victor Hotel,CgsIoP2fn_aYztCSARAB
Hotel Mirlo Barcelona,CgoI28i11aqcuMVFEAE
Meliá Barcelona Sarrià,CgsIs-uCqcfYlf_yARAB
Kimpton Vividora Barcelona,CgoI-oWjjN7K1NYiEAE
The Barcelona EDITION,CgoI2N_s8dWn4OQBEAE
Cotton House Hotel,CgoIm8in-e7g749HEAE
ME Barcelona,CgoI67G9-tn_g6scEAE
Almanac Barcelona,CgoI9qTL8PKBr-NGEAE
Hotel Bagués,CgoIqvGdiP2lzcw_EAE
Monument Hotel,CgsI0f_o1KLOpICAARAB
Hyatt Regency Barcelona Tower,CgoIqLOIpMH8n-xeEAE
Eurostars Grand Marina,CgoIsaOZ9_iauasgEAE
Hotel Arts Barcelona,CgsI1YD9vLqNr5__ARAB
Primero Primera,CgoIu_GekMLEtMpgEAE
Wittmore Hotel,CgoIpu_o8vGprMMJEAE
Sonder DO Plaça Reial,CgoI0qrs-d-o_75TEAE
Mercer Hotel Barcelona,CgsI5IawgrDKx56_ARAB
Hotel Neri Relais & Chateaux‎,CgoIhpqmmIjGqbEyEAE
Ocean Drive Barcelona,CgsIpoW89OqrrKuyARAB
ABaC Hotel,CgsIj7zD_rLEmPvIARAB
The One Barcelona,CgsIqO7bqci1k92vARAB
W Barcelona,CgoIi974-4CPg_RZEAE
