entity,location_title,location_overview,score,things_to_do_score,restaurants_score,transportation_score,airport_score
CgoI0eKGsMmkssYqEAE,Sants-Montjuïc,"Sants-Montjuïc centers on Montjuïc hill, which offers sweeping sea views from Montjuïc Castle and city vistas from paths near the Olympic Stadium. The area is home to cultural institutions like the Joan Miró Foundation, in a striking modernist building, and the Museu Nacional d'Art de Catalunya, in a neoclassical palace. Gardens and pine-filled parks cover the hill, while cable cars connect it to the city and harbor.",2.9,2.7,2.6,2.6,4.7
CgoI38SKsa2ovOpUEAE,Sarrià,"Sarrià is an upscale, village-like neighborhood near the wooded walking trails of Collserola Natural Park. The restored, early-1900s Sarrià Market sells cheese, sausages and seafood, while the main artery, Major de Sarrià, is lined with gourmet food and wine shops. CosmoCaixa is a vast science museum in a converted modernista hospital for the blind, with a planetarium and a living Amazon rainforest.",2.8,3.1,2.6,2.6,4.5
CgoI7vzhpMe-mZA7EAE,,"Offering views of the Balearic Sea and a 3-minute walk from Badalona Beach, this sleek hotel is 10 km from both the La Sagrada Familia church and the Picasso Museum. Josep Tarradellas Barcelona-El Prat Airport is 23 km away.",2.7,2.7,2.6,2.7,3.8
CgoIl63G7O7f-74LEAE,Diagonal Mar i el Front Marítim del Poblenou,"Seaside district Diagonal Mar i el Front Marítim del Poblenou is home to popular beach Platja Llevant, marked by kitesurfing spots and upscale, open-air gastrobars. Torre Aigües Besòs, a landmark 1880s water tower, contrasts with striking modern hotels and offices. Mainstream boutiques fill Diagonal Mar mall, while local artists, musicians, and street food vendors showcase their talents at trendy Palo Alto Market.",3.6,2.6,4.1,4.1,4.2
CgoIq7Cd_aqvj8sgEAE,Dreta de l'Eixample,"Art nouveau apartment buildings line the wide avenues of affluent Dreta de l’Eixample – a neighborhood defined by landmark Antoni Gaudí architecture such as La Sagrada Familia, Casa Batlló and La Pedrera. Chic international boutiques and upmarket restaurants cluster along the Passeig de Gràcia and Rambla de Catalunya, while department stores and al fresco cafes ring busy transit hub, Plaça de Catalunya.",5.0,4.9,4.8,4.9,4.3
CgoIs52S8eisvbQ3EAE,,"In 2 towers on Plaça d'Europa square, this upscale hotel next to Europa–Fira station is an 8-minute walk from the Fira de Barcelona–Gran Via convention center.",3.0,2.9,3.1,2.7,4.7
CgoIwd7E5KTjyKEHEAE,,"At the edge of a commercial area, this contemporary hotel is an 8-minute walk from the Llevant-Les Planes tram stop and 5 km from soccer matches at Camp Nou, home to Barcelona Football Club.",3.0,2.8,3.1,2.9,4.5
CgoIyuzX_rWUq4B5EAE,,"Within a 13-minute walk of both a metro stop and the nearest beach, this modern hotel off the C-31 highway is 10 km from the Sagrada Família.",2.8,2.7,3.0,2.1,3.9
CgsI0ZuI8IaE4b-uARAB,Gothic Quarter,"The charming Gothic Quarter, or Barri Gòtic, has narrow medieval streets filled with trendy bars, clubs and Catalan restaurants. The Museu d'Història de Barcelona shows remains of the Roman city. Artisans sell leather and jewelry near the Cathedral of Barcelona, while flower stalls and street-food vendors line busy avenue La Rambla. The Plaça del Pi, named after the adjacent Gothic church, hosts a weekend art market.",4.9,4.7,4.8,4.7,4.5
CgsI5fW-hdLRgdWoARAB,Gothic Quarter,"The charming Gothic Quarter, or Barri Gòtic, has narrow medieval streets filled with trendy bars, clubs and Catalan restaurants. The Museu d'Història de Barcelona shows remains of the Roman city. Artisans sell leather and jewelry near the Cathedral of Barcelona, while flower stalls and street-food vendors line busy avenue La Rambla. The Plaça del Pi, named after the adjacent Gothic church, hosts a weekend art market.",4.9,4.8,4.8,4.7,4.5
CgsI7semh7nNrZKlARAB,Les Corts,"Suburban Les Corts draws crowds to Barcelona Football Club’s home stadium Camp Nou for big-league soccer games and tours of the team museum. Former royal residence Palau Reial de Pedralbes has design and ceramics exhibits and manicured garden grounds, while 14th-century monastery Pedralbes is known for frescoes and a vast Gothic cloister. Sports bars and upscale, supper club-style bistros dot the area.",3.5,3.7,3.7,4.3,4.3
CgsI9Nyq-d2QwuKjARAB,Dreta de l'Eixample,"Art nouveau apartment buildings line the wide avenues of affluent Dreta de l’Eixample – a neighborhood defined by landmark Antoni Gaudí architecture such as La Sagrada Familia, Casa Batlló and La Pedrera. Chic international boutiques and upmarket restaurants cluster along the Passeig de Gràcia and Rambla de Catalunya, while department stores and al fresco cafes ring busy transit hub, Plaça de Catalunya.",4.4,4.7,4.3,4.8,4.1
CgsIhtept_n5lsSxARAB,,"A 7-minute walk from Collblanc metro station, this informal spa hotel is 13 minutes' walk from Camp Nou stadium, home of the Barcelona football club, and 7 km from Gaudi's renowned Sagrada Família.",2.9,3.1,2.7,3.6,4.4
CgsIlfeR45ngz6HSARAB,Sarrià-Sant Gervasi,"Vast, varied Sarrià-Sant Gervasi has a mix of urban tapas bars, brand-name boutiques, and hillside nature walks at Vallvidrera Reservoir. A funicular railway ascends to Parque de Atracciones, with old-fashioned thrill rides and panoramic views on Mt. Tibidabo. Bellesguard is a medieval-style turreted mansion designed by Antoni Gaudí, and the modernist CosmoCaixa museum houses a planetarium and indoor rainforest.",3.5,4.2,3.1,4.7,4.2
CgsIxuzD9LXeh-imARAB,El Raval,"El Raval is a vibrant area, with cutting-edge exhibitions at the Barcelona Museum of Contemporary Art and adjacent Centre de Cultura Contemporània de Barcelona. Bohemian bars, hip design shops and street art fill the surrounding streets. La Boqueria market on La Rambla avenue sells seafood, wine and tapas, while laid-back cafes line Rambla del Raval. The Maritime Museum displays replica boats in medieval shipyards.",5.0,4.9,4.9,4.9,4.3
