entity,gt_name,star,city,province,district,address,phone,summary,score,price
CgoI0eKGsMmkssYqEAE,Best Western Plus Hotel Alfa Aeroport,,Catalonia,Barcelona,Barcelona,"Carrer K Zona Franca, 08040 Barcelona, Spain",+34 933 36 25 64,"Simple rooms in a casual hotel offering terrace dining, an indoor pool & a fitness room.",4.1,
CgoI38SKsa2ovOpUEAE,ikonik Anglí,4-star hotel,Catalonia,Barcelona,Barcelona,"Carrer d'Anglí, 60, 08017 Barcelona, Spain",+34 932 06 99 44,"Contemporary, upscale hotel with free Wi-Fi, plus a modern dining room & an outdoor pool.",4.0,
CgoI7vzhpMe-mZA7EAE,Hotel Marina Badalona,,Catalonia,Barcelona,Badalona,"Avinguda d'Eduard Maristany, 227, 08912 Badalona, Barcelona, Spain",+34 830 83 10 83,"Upscale hotel offering a spa, a gym & dining, plus 2 bars, an indoor pool & a rooftop infinity pool.",4.2,"TRY 1,938"
CgoIl63G7O7f-74LEAE,Hotel Barcelona Princess,,Catalonia,Barcelona,Barcelona,"Avinguda Diagonal, 1, 08019 Barcelona, Spain",+34 933 56 10 00,"Sea-view hotel offering sleek rooms with free Wi-Fi & minibars, plus dining & an outdoor pool.",4.2,"TRY 1,740"
CgoIq7Cd_aqvj8sgEAE,Hotel Sansi Barcelona,,Catalonia,Barcelona,Barcelona,"C/ de la Diputació, 234, 08007 Barcelona, Spain",+34 936 77 27 73,"Contemporary hotel with free Wi-Fi, plus a business center & a lounge with a fireplace.",3.3,"TRY 1,604"
CgoIs52S8eisvbQ3EAE,Renaissance Barcelona Fira Hotel,,Catalonia,Barcelona,L'Hospitalet de Llobregat,"Pl. d'Europa, 50-52, 08902 L'Hospitalet de Llobregat, Barcelona, Spain",+34 932 61 80 00,"Sleek high-rise hotel with a Mediterranean restaurant, as well as a rooftop pool & bar.",4.5,"TRY 2,968"
CgoIwd7E5KTjyKEHEAE,Novotel Barcelona Sant Joan Despi,,Catalonia,Barcelona,Sant Joan Despí,"Carrer de la TV3, 2, Hb004100, 08970 Sant Joan Despí, Barcelona, Spain",+34 934 75 58 00,"Casual rooms in a contemporary hotel offering an informal restaurant, a bar & a kids' play area.",3.9,"TRY 1,537"
CgoIyuzX_rWUq4B5EAE,Rafaelhoteles Badalona,,Catalonia,Barcelona,Badalona,"Av. Navarra, 6, 08911 Badalona, Barcelona, Spain",+34 931 84 79 00,"Contemporary hotel offering relaxed rooms, some with whirlpool tubs, plus a bar, dining & a gym.",4.2,
CgsI0ZuI8IaE4b-uARAB,Hotel Medinaceli,4-star hotel,Catalonia,Barcelona,Barcelona,"Plaça del Duc de Medinaceli, 8, 08002 Barcelona, Spain",+34 934 81 77 25,Upscale property in a converted palace offering original architectural features & classic rooms.,4.0,
CgsI5fW-hdLRgdWoARAB,Hotel Duquesa de Cardona Barcelona,,Catalonia,Barcelona,Barcelona,"Passeig de Colom, 12, 08002 Barcelona, Spain",+34 932 68 90 90,"Upscale hotel with port views & sleek quarters, plus posh dining, a rooftop deck and a terrace bar.",4.5,
CgsI7semh7nNrZKlARAB,Hilton Barcelona,,Catalonia,Barcelona,Barcelona,"Avinguda Diagonal, 589, 591, 08014 Barcelona, Spain",+34 934 95 77 77,"Contemporary lodging with a Mediterranean restaurant & a cocktail bar, plus an exercise room.",4.3,
CgsI9Nyq-d2QwuKjARAB,Seventy Barcelona,,Catalonia,Barcelona,Barcelona,"C/ de Còrsega, 344, 352, 08037 Barcelona, Spain",+34 930 12 12 70,"Chic quarters in a modern, polished hotel with an upscale spa, dining & a cocktail bar, plus a pool.",4.7,"TRY 3,332"
CgsIhtept_n5lsSxARAB,Hotel ILUNION Les Corts Spa (Barcelona),,Catalonia,Barcelona,Barcelona,"Carrer del Cardenal Reig, 11, 08028 Barcelona, Spain",+34 931 15 03 01,"Relaxed rooms with free Wi-Fi in an informal hotel offering buffet dining, a rooftop pool & a spa.",4.1,
CgsIlfeR45ngz6HSARAB,Pol & Grace Hotel,4-star hotel,Catalonia,Barcelona,Barcelona,"Carrer de Guillem Tell, 49, 08006 Barcelona, Spain",+34 934 15 40 00,"Modern accommodation with free Wi-Fi, plus a breakfast buffet, a lounge & laundry service.",4.4,
CgsIxuzD9LXeh-imARAB,Hotel España,,Catalonia,Barcelona,Barcelona,"Carrer de Sant Pau, 9-11, 08001 Barcelona, Spain",+34 935 50 00 00,"Sophisticated quarters in a posh hotel with a plush restaurant, plus a sleek rooftop lounge & pool.",4.4,
