entity,rating_percentage_5,rating_percentage_4,rating_percentage_3,rating_percentage_2,rating_percentage_1,review_count,overall_rating,room_rating,location_rating,service_rating
CgoI0eKGsMmkssYqEAE,46%,33%,13%,4%,4%,"1,653 reviews",4.1,4.0,4.2,4.2
CgoI38SKsa2ovOpUEAE,44%,34%,11%,5%,6%,702 reviews,4.0,3.0,3.8,4.2
CgoI7vzhpMe-mZA7EAE,65%,16%,7%,3%,9%,160 reviews,4.2,,,
CgoIl63G7O7f-74LEAE,52%,31%,11%,3%,3%,"4,392 reviews",4.2,3.5,4.4,3.8
CgoIq7Cd_aqvj8sgEAE,29%,25%,16%,10%,20%,996 reviews,3.3,2.9,4.8,3.8
CgoIs52S8eisvbQ3EAE,68%,25%,4%,1%,2%,"2,341 reviews",4.5,3.9,4.1,4.4
CgoIwd7E5KTjyKEHEAE,35%,37%,17%,6%,5%,"1,798 reviews",3.9,2.2,3.8,4.4
CgoIyuzX_rWUq4B5EAE,47%,36%,11%,3%,3%,"1,188 reviews",4.2,3.6,3.7,3.0
CgsI0ZuI8IaE4b-uARAB,46%,31%,11%,6%,6%,782 reviews,4.0,3.2,4.7,4.2
CgsI5fW-hdLRgdWoARAB,68%,23%,5%,1%,3%,"1,428 reviews",4.5,4.2,4.8,4.1
CgsI7o-xsb3izM6CARAB,56%,26%,8%,4%,6%,"1,735 reviews",4.2,,,
CgsI7semh7nNrZKlARAB,57%,30%,8%,2%,3%,"2,559 reviews",4.3,3.2,4.3,3.8
CgsI9Nyq-d2QwuKjARAB,80%,15%,2%,1%,2%,847 reviews,4.7,4.2,4.7,4.2
CgsIhtept_n5lsSxARAB,47%,31%,14%,4%,4%,"2,006 reviews",4.1,3.1,4.1,3.7
CgsIlfeR45ngz6HSARAB,61%,30%,6%,1%,2%,910 reviews,4.4,3.4,4.6,4.7
CgsIxuzD9LXeh-imARAB,64%,25%,7%,2%,2%,832 reviews,4.4,3.3,4.7,4.4
